Timestamp,Src IP,Dst IP,Src Port,Dst Port,Protocol,Length
1736948822.09322,10.59.108.233,224.0.0.251,5353,5353,17,310
1736948822.093654,17.248.209.129,10.59.108.55,443,63281,6,66
1736948822.0972009,17.248.209.129,10.59.108.55,443,63281,6,66
1736948822.0976388,17.248.209.129,10.59.108.55,443,63281,6,298
1736948822.0980842,17.248.209.129,10.59.108.55,443,63281,6,298
1736948822.098398,10.59.108.55,17.248.209.129,63281,443,6,66
1736948822.0989,10.59.108.55,17.248.209.129,63281,443,6,130
1736948822.0993228,10.59.108.55,17.248.209.129,63281,443,6,454
1736948822.112565,17.248.209.129,10.59.108.55,443,63281,6,66
1736948822.114401,17.248.209.129,10.59.108.55,443,63281,6,298
1736948822.114806,10.59.108.55,17.248.209.129,63281,443,6,66
1736948822.216715,10.59.108.252,224.0.0.251,5353,5353,17,136
1736948822.227795,10.59.109.245,224.0.0.251,5353,5353,17,136
1736948822.228378,10.59.104.189,224.0.0.251,5353,5353,17,136
1736948822.2291389,10.59.109.245,224.0.0.251,5353,5353,17,136
1736948822.238797,10.59.109.166,224.0.0.251,5353,5353,17,136
1736948822.240161,10.59.109.23,224.0.0.251,5353,5353,17,136
1736948822.24123,10.59.109.23,224.0.0.251,5353,5353,17,136
1736948822.242028,10.59.107.21,224.0.0.251,5353,5353,17,136
1736948822.2424781,10.59.107.21,224.0.0.251,5353,5353,17,136
1736948822.249771,10.59.107.232,224.0.0.251,5353,5353,17,136
1736948822.250344,10.59.107.232,224.0.0.251,5353,5353,17,136
1736948822.255726,10.59.108.228,224.0.0.251,5353,5353,17,136
1736948822.2574139,10.59.110.12,224.0.0.251,5353,5353,17,136
1736948822.259614,10.59.105.124,224.0.0.251,5353,5353,17,136
1736948822.260043,10.59.105.124,224.0.0.251,5353,5353,17,136
1736948822.261452,10.59.109.103,224.0.0.251,5353,5353,17,136
1736948822.339778,10.59.108.233,224.0.0.251,5353,5353,17,166
1736948823.767381,10.59.108.55,142.250.184.206,51475,443,6,54
1736948823.786412,142.250.184.206,10.59.108.55,443,51475,6,66
1736948823.8063612,10.59.107.119,239.255.255.250,60959,1900,17,167
1736948824.06936,10.59.108.55,17.248.209.129,63281,443,6,130
1736948824.0698419,10.59.108.55,17.248.209.129,63281,443,6,422
1736948824.0710258,10.59.108.55,17.248.209.129,63281,443,6,129
1736948824.0714781,10.59.108.55,17.248.209.129,63281,443,6,616
1736948824.088587,17.248.209.129,10.59.108.55,443,63281,6,66
1736948824.094146,17.248.209.129,10.59.108.55,443,63281,6,298
1736948824.094516,10.59.108.55,17.248.209.129,63281,443,6,66
1736948824.095938,17.248.209.129,10.59.108.55,443,63281,6,298
1736948824.1025128,10.59.108.233,224.0.0.251,5353,5353,17,563
1736948824.1030881,10.59.108.55,17.248.209.129,63281,443,6,66
1736948824.108351,10.59.108.55,17.248.209.129,63281,443,6,130
1736948824.10876,10.59.108.55,17.248.209.129,63281,443,6,455
1736948824.122445,17.248.209.129,10.59.108.55,443,63281,6,66
1736948824.122946,17.248.209.129,10.59.108.55,443,63281,6,298
1736948824.1233642,10.59.108.55,17.248.209.129,63281,443,6,66
1736948824.311384,10.59.107.187,224.0.0.251,5353,5353,17,402
1736948824.328772,10.59.108.55,51.104.15.252,51604,443,6,179
1736948824.329215,10.59.108.55,51.104.15.252,51604,443,6,1494
1736948824.329612,10.59.108.55,51.104.15.252,51604,443,6,589
1736948824.355683,51.104.15.252,10.59.108.55,443,51604,6,66
1736948824.375951,51.104.15.252,10.59.108.55,443,51604,6,165
1736948824.3766909,10.59.108.55,51.104.15.252,51604,443,6,66
1736948824.377843,10.59.108.55,51.104.15.252,51604,443,6,101
1736948824.44998,51.104.15.252,10.59.108.55,443,51604,6,66
1736948825.486995,10.59.108.55,224.0.0.251,5353,5353,17,153
1736948825.549629,10.59.109.169,239.255.255.250,42231,1900,17,384
1736948825.626016,10.59.109.169,239.255.255.250,40786,1900,17,396
1736948825.8316338,10.59.104.18,224.0.0.251,5353,5353,17,272
1736948826.336836,142.250.184.234,10.59.108.55,443,51596,6,152
1736948826.337041,10.59.108.55,142.250.184.234,51596,443,6,66
1736948826.338491,10.59.108.55,142.250.184.234,51596,443,6,101
1736948826.338732,10.59.108.55,142.250.184.234,51596,443,6,101
1736948826.357486,142.250.184.234,10.59.108.55,443,51596,6,66
1736948826.3576698,142.250.184.234,10.59.108.55,443,51596,6,66
1736948826.3933241,10.59.108.233,224.0.0.251,5353,5353,17,300
1736948826.552327,10.59.108.55,224.0.0.251,5353,5353,17,1001
1736948827.624626,10.59.108.55,142.250.184.206,51475,443,6,1466
1736948827.625055,10.59.108.55,142.250.184.206,51475,443,6,1292
1736948827.625497,10.59.108.55,142.250.184.206,51475,443,6,105
1736948827.6259189,10.59.108.55,142.250.184.206,51475,443,6,710
1736948827.6537359,142.250.184.206,10.59.108.55,443,51475,6,66
1736948827.654078,142.250.184.206,10.59.108.55,443,51475,6,66
1736948827.6555789,10.59.108.55,142.250.184.206,51475,443,6,1466
1736948827.6558561,10.59.108.55,142.250.184.206,51475,443,6,1466
1736948827.656106,10.59.108.55,142.250.184.206,51475,443,6,463
1736948827.656379,10.59.108.55,142.250.184.206,51475,443,6,1466
1736948827.656619,10.59.108.55,142.250.184.206,51475,443,6,331
1736948827.658617,142.250.184.206,10.59.108.55,443,51475,6,105
1736948827.658842,10.59.108.55,142.250.184.206,51475,443,6,66
1736948827.674388,10.59.108.55,10.59.0.1,65243,53,17,89
1736948827.6746829,10.59.108.55,10.59.0.1,60058,53,17,89
1736948827.6777458,142.250.184.206,10.59.108.55,443,51475,6,66
1736948827.680613,142.250.184.206,10.59.108.55,443,51475,6,78
1736948827.711885,142.250.184.206,10.59.108.55,443,51475,6,66
1736948827.716345,142.250.184.206,10.59.108.55,443,51475,6,602
1736948827.716619,142.250.184.206,10.59.108.55,443,51475,6,247
1736948827.716911,142.250.184.206,10.59.108.55,443,51475,6,97
